airportCode,airportName,cityName,countryName,countryCode,
BGGH,Nuuk,Nuuk,Greenland,GRL,
DTMB,Habib Bourguiba,Monastir,Tunisia,TUN,
VRMM,Ibrahim Nasir Intl,Male,Maldives,MDV,
FEFF,M'Poko,Bangui,Central African Republic,CAF,
BGAA,Aasiaat,Aasiaat,Greenland,GRL,
UWKE,Begishevo,Begishevo,Russia,RUS,
HEAT,Asyut Intl,Asyut,Egypt,EGY,
YPAD,Adelaide Intl,Adelaide,Australia,AUS,
LGZA,Dionisios Solomos,Zakinthos,Greece,GRC,
DTTA,Carthage,Tunis,Tunisia,TUN,
LGSA,Ioannis Daskalogiannis,Chania,Greece,GRC,
HDAM,Ambouli,Djibouti,Djibouti,DJI,
LGPZ,Aktion,Preveza,Greece,GRC,
LGKV,Megas Alexandros,Kavala,Greece,GRC,
LGKP,Karpathos,Karpathos,Greece,GRC,
HUEN,Entebbe Intl,Entebbe,Uganda,UGA,
LGKO,Ippokratis,Kos,Greece,GRC,
VTUK,Khon Kaen,Khon Kaen,Thailand,THA,
VTSP,Phuket Intl,Phuket,Thailand,THA,
MMSL,Cabo San Lucas Intl,Cabo San Lucas,Mexico,MEX,
SBSN,Maestro Wilson Fonseca Intl,Santarem,Brazil,BRA,
UBBB,Heydar Aliyev Intl,Baku,Azerbaijan,AZE,
EDDK,Cologne-Bonn,Cologne-Bonn,Germany,DEU,
LGKL,Kalamata,Kalamata,Greece,GRC,
LFPB,Le Bourget,Paris,France,FRA,
LGKF,Anna Pollatou,Kefallinia,Greece,GRC,
FMMT,Toamasina,Toamasina,Madagascar,MDG,
LGIR,Nikos Kazantzakis,Iraklion,Greece,GRC,
UNOO,Tsentralny,Omsk,Russia,RUS,
LRSM,Satu Mare,Satu Mare,Romania,ROU,
LGIO,King Pyrros,Ioannina,Greece,GRC,
EDAB,Bautzen,Bautzen,Germany,DEU,
LFML,Marseille/Provence,Marseille/Provence,France,FRA,
LGHI,Omiros,Chios,Greece,GRC,
USRR,Surgut,Surgut,Russia,RUS,
LGEL,Elefsis,Elefsis,Greece,GRC,
KMLU,Monroe Regl,Monroe,USA,USA,
KLSE,La Crosse Regl,La Crosse,USA,USA,
ORER,Erbil Intl,Erbil,Iraq,IRQ,
BGQQ,Qaanaaq,Qaanaaq,Greenland,GRL,
PTPN,Pohnpei Intl,Pohnpei I,Micronesia,FSM,
LGBL,Nea Anchialos,Almiros,Greece,GRC,
LFAT,Cote D'Opale,Le Touquet,France,FRA,
LGAV,Eleftherios Venizelos Intl,Athens,Greece,GRC,
EKOD,Hans Christian Andersen,Odense,Denmark,DNK,
UATT,Aktobe,Aktobe,Kazakhstan,KAZ,
EGGP,Liverpool,Liverpool,UK,GBR,
WAPP,Pattimura,Ambon,Indonesia,IDN,
LFBO,Blagnac,Toulouse,France,FRA,
LGAD,Andravida,Andravida,Greece,GRC,
WADD,I Gusti Ngurah Rai,Bali,Indonesia,IDN,
KEYW,Key West Intl,Key West,USA,USA,
FGSL,Malabo,Malabo,Eq Guinea,GNQ,
GBYD,Banjul Intl,Banjul,Gambia,GMB,
LFMP,Rivesaltes,Perpignan,France,FRA,
TFFJ,St Barthelemy I,St Barthelemy I,Guadeloupe,GLP,
TFFG,Grand Case,St Martin I,Guadeloupe,GLP,
GUNZ,Konia,Nzerekore,Guinea Rep,GIN,
LESO,San Sebastian,San Sebastian,Spain,ESP,
GULB,Tata,Labe,Guinea Rep,GIN,
TIST,King,St Thomas I/Charlotte Amalie,Virgin Islands,VIR,
LXGB,Gibraltar,Gibraltar,Gibraltar,GIB,
OKBK,Kuwait Intl,Kuwait,Kuwait,KWT,
KPVD,Green State,Providence,USA,USA,
MMTC,Torreon Intl,Torreon,Mexico,MEX,
DGLE,Tamale,Tamale,Ghana,GHA,
EGTE,Exeter,Exeter,UK,GBR,
KPSP,Palm Springs Intl,Palm Springs,USA,USA,
EGSH,Norwich,Norwich,UK,GBR,
EGPH,Edinburgh,Edinburgh,UK,GBR,
EGPF,Glasgow,Glasgow,UK,GBR,
EGPD,Dyce,Aberdeen,UK,GBR,
SAWG,Norberto Fernandez,Rio Gallegos,Argentina,ARG,
FOOG,Port Gentil,Port Gentil,Gabon,GAB,
UASS,Semey,Semey,Kazakhstan,KAZ,
LEVT,Vitoria,Vitoria,Spain,ESP,
EGPB,Sumburgh,Sumburgh,UK,GBR,
URWI,Elista,Elista,Russia,RUS,
EGPA,Kirkwall,Kirkwall,UK,GBR,
BIRK,Reykjavik,Reykjavik,Iceland,ISL,
EGNX,East Midlands,East Midlands,UK,GBR,
EGNS,Isle Of Man,Isle Of Man,UK,GBR,
EGNM,Leeds Bradford,Leeds Bradford,UK,GBR,
KOAK,Metro Oakland Intl,Oakland,USA,USA,
HCMV,Burao,Burao,Somalia,SOM,
MSLP,El Salvador Intl, Oscar Arnulfo Romero y Galdamez,San Salvador,El Salvador,
HLLT,Tripoli Intl,Tripoli,Libyan Arab Jamahiriya,LBY,
GGOV,Osvaldo Viera,Bissau,Guinea-Bissau,GNB,
EGNH,Blackpool,Blackpool,UK,GBR,
ESSB,Bromma,Stockholm,Sweden,SWE,
EGMD,Lydd,Lydd,UK,GBR,
SBFL,Hercilio Luz Intl,Florianopolis,Brazil,BRA,
EGKA,Shoreham,Shoreham,UK,GBR,
EGJJ,Jersey,Jersey,UK,GBR,
LEMD,Adolfo Suarez Madrid-Barajas,Madrid,Spain,ESP,
EGJB,Guernsey,Guernsey,UK,GBR,
EPGD,Lech Walesa,Gdansk,Poland,POL,
SBCY,Marechal Rondon Intl,Cuiaba,Brazil,BRA,
EGHI,Southampton,Southampton,UK,GBR,
DGSI,Kumasi,Kumasi,Ghana,GHA,
EGGD,Bristol,Bristol,UK,GBR,
LIPV,Lido,Venice,Italy,ITA,
VEGT,Guwahati,Guwahati,India,IND,
PGSN,Francisco C Ada/Saipan Intl,Saipan I,Northern Mariana Is,XJO,
SBGL,Galeao-Antonio C Jobim Intl,Rio De Janeiro,Brazil,BRA,
EGCC,Manchester,Manchester,UK,GBR,
VOCB,Coimbatore,Coimbatore,India,IND,
LDZD,Zemunik,Zadar,Croatia,HRV,
EGAC,Belfast City,Belfast,UK,GBR,
EPBY,Szwederowo,Bydgoszcz,Poland,POL,
LIPU,Padova,Padova,Italy,ITA,
DAOI,Chlef,Chlef,Algeria,DZA,
EGAA,Aldergrove,Belfast,UK,GBR,
KFLL,Ft Lauderdale-Hollywood Intl,Ft Lauderdale,USA,USA,
UWGG,Strigino,Nizhny Novgorod,Russia,RUS,
FOOL,Leon M'BA,Libreville,Gabon,GAB,
KILM,Wilmington Intl,Wilmington,USA,USA,
UNEE,Kemerovo,Kemerovo,Russia,RUS,
FMMI,Ivato,Antananarivo,Madagascar,MDG,
LFST,Entzheim,Strasbourg,France,FRA,
LIMG,Albenga,Albenga,Italy,ITA,
LLHA,Haifa,Haifa,Israel,ISR,
USSS,Koltsovo,Yekaterinburg,Russia,RUS,
EKVG,Vagar,Vagar,Faroe Is,FRO,
LFTW,Garons,Nimes,France,FRA,
LFRZ,Montoir,St Nazaire,France,FRA,
KRDU,Raleigh-Durham Intl,Raleigh/Durham,USA,USA,
KBRO,Brownsville/South Padre I Intl,Brownsville,USA,USA,
LFRT,Armor,St Brieuc,France,FRA,
LFRQ,Pluguffan,Quimper,France,FRA,
LFRO,Lannion,Lannion,France,FRA,
EDMA,Augsburg,Augsburg,Germany,DEU,
LFRN,St Jacques,Rennes,France,FRA,
KSRQ,Sarasota-Bradenton Intl,Sarasota/Bradenton,USA,USA,
LFRK,Carpiquet,Caen,France,FRA,
LFRD,Pleurtuit-St Malo,Dinard,France,FRA,
KMDT,Harrisburg Intl,Harrisburg,USA,USA,
SPJC,Jorge Chavez Intl,Lima-Callao,Peru,PER,
EDDH,Hamburg,Hamburg,Germany,DEU,
TGPY,Maurice Bishop Intl,St Georges,Grenada,GRD,
LFRC,Maupertus,Cherbourg,France,FRA,
SEQM,Mariscal Sucre Intl,Quito,Ecuador,ECU,
LFPO,Orly,Paris,France,FRA,
ESSV,Visby,Visby,Sweden,SWE,
SPQT,Col Francisco Secada Vignetta,Iquitos,Peru,PER,
LFPG,Charles-De-Gaulle,Paris,France,FRA,
MMPB,Hermanos Serdan Intl,Puebla,Mexico,MEX,
LFOH,Octeville,Le Havre,France,FRA,
UTST,Termez,Termez,Uzbekistan,UZB,
LFOB,Tille,Beauvais,France,FRA,
MPTO,Tocumen Intl,Panama City,Panama,PAN,
EKSN,Sindal,Sindal,Denmark,DNK,
WABB,Frans Kaisiepo,Biak,Indonesia,IDN,
LFMH,Boutheon,St Etienne,France,FRA,
KONT,Ontario Intl,Ontario,USA,USA,
ULPB,Besovets,Petrozavodsk,Russia,RUS,
LFLY,Bron,Lyon,France,FRA,
TNCB,Flamingo Intl,Kralendijk,Neth Antilles,ANT,
VILK,Chaudhary Charan Singh,Lucknow,India,IND,
LFLS,Isere,Grenoble,France,FRA,
LFLC,Clermont-Ferrand/Auvergne,Clermont-Ferrand/Auvergne,France,FRA,
LFKC,St Catherine,Calvi,France,FRA,
DAOO,Ahmed Benbella,Oran,Algeria,DZA,
LFGJ,Tavaux,Dole,France,FRA,
LFBT,Lourdes-Pyrenees,Tarbes,France,FRA,
LFBP,Pau/Pyrenees,Pau/Pyrenees,France,FRA,
UACK,Kokshetau,Kokshetau,Kazakhstan,KAZ,
LEZG,Zaragoza,Zaragoza,Spain,ESP,
LFBH,Ile De Re,La Rochelle,France,FRA,
UHPP,Yelizovo,Petropavlovsk-Kamchatsky,Russia,RUS,
NFFN,Nadi Intl,Nadi,Fiji Is,FJI,
SADF,San Fernando Intl,San Fernando,Argentina,ARG,
EFTU,Turku,Turku,Finland,FIN,
EFRO,Rovaniemi,Rovaniemi,Finland,FIN,
KCVG,Cincinnati/Northern Ky Intl,Cincinnati,USA,USA,
EFOU,Oulu,Oulu,Finland,FIN,
SYGO,Ogle Intl,Georgetown,Guyana,GUY,
EFIV,Ivalo,Ivalo,Finland,FIN,
FLMF,Mfuwe,Mfuwe,Zambia,ZMB,
NVSS,Santo/Pekoa,Santo,Vanuatu,VUT,
EETU,Tartu,Tartu,Estonia,EST,
LFMN,Nice/Cote D'Azur,Nice/Cote D'Azur,France,FRA,
EETN,Lennart Meri,Tallinn,Estonia,EST,
MMPR,Lic Gustavo Diaz Ordaz Intl,Puerto Vallarta,Mexico,MEX,
EEPU,Parnu,Parnu,Estonia,EST,
CYOW,Macdonald-Cartier Intl,Ottawa,Canada,CAN,
EEKE,Kuressaare,Kuressaare,Estonia,EST,
ESPA,Kallax,Lulea,Sweden,SWE,
TFFR,Le Raizet,Pointe-A-Pitre,Guadeloupe,GLP,
KTYR,Tyler Pounds Regl,Tyler,USA,USA,
KACV,Arcata,Arcata-Eureka,USA,USA,
EEKA,Kardla,Kardla,Estonia,EST,
LEZL,Seville,Seville,Spain,ESP,
UAUU,Narimanovka,Kostanay,Kazakhstan,KAZ,
LFKB,Poretta,Bastia,France,FRA,
LEVX,Vigo,Vigo,Spain,ESP,
LFKJ,Napoleon Bonaparte,Ajaccio,France,FRA,
LRCL,Avram Iancu,Cluj-Napoca,Romania,ROU,
LEVD,Villanubla,Valladolid,Spain,ESP,
WAKK,Mopah,Merauke,Indonesia,IDN,
LSZG,Grenchen,Grenchen,Switzerland,CHE,
LEST,Santiago,Santiago,Spain,ESP,
LFRG,Normandie,Deauville,France,FRA,
LESA,Matacan,Salamanca,Spain,ESP,
GUCY,Gbessia,Conakry,Guinea Rep,GIN,
NVVV,Port Vila,Port Vila,Vanuatu,VUT,
MDST,Cibao Intl,Santiago,Dom Rep,DOM,
LERS,Reus,Reus,Spain,ESP,
OEDF,King Fahd Intl,Dammam,Saudi Arabia,SAU,
LEMH,Menorca,Menorca,Spain,ESP,
LDSB,Brac Island,Brac,Croatia,HRV,
EGLC,London City,London,UK,GBR,
UUBP,Bryansk,Bryansk,Russia,RUS,
UHBB,Ignatyevo,Blagoveshchensk,Russia,RUS,
LEMG,Costa del Sol,Malaga,Spain,ESP,
LELL,Sabadell,Sabadell,Spain,ESP,
LGKR,Ioannis Kapodistrias,Kerkira,Greece,GRC,
LELC,San Javier,Murcia,Spain,ESP,
KBHM,Birmingham-Shuttlesworth Intl,Birmingham,USA,USA,
ZGGG,Baiyun,Guangzhou,China,CHN,
LIRP,San Giusto,Pisa,Italy,ITA,
EDWB,Bremerhaven,Bremerhaven,Germany,DEU,
LFBI,Biard,Poitiers,France,FRA,
LEJR,Jerez,Jerez,Spain,ESP,
LEIB,Ibiza,Ibiza,Spain,ESP,
LEGE,Girona,Girona,Spain,ESP,
NZAA,Auckland Intl,Auckland,New Zealand,NZL,
FMMS,Sainte-Marie,Sainte-Marie,Madagascar,MDG,
LEGR,Federico Garcia Lorca,Granada,Spain,ESP,
LEBB,Bilbao,Bilbao,Spain,ESP,
HSPN,Port Sudan,Port Sudan,Sudan,SDN,
LSZC,Buochs,Buochs,Switzerland,CHE,
LIEA,Fertilia,Alghero,Italy,ITA,
LFLB,Aix-Les-Bains,Chambery,France,FRA,
OMDW,Al Maktoum Intl,Dubai,UAE,ARE,
LEAS,Asturias,Asturias,Spain,ESP,
KADW,Joint Base Andrews,Camp Springs,USA,USA,
FQBR,Beira,Beira,Mozambique,MOZ,
FCPP,Antonio Agostinho Neto,Pointe Noire,Congo, Rep Of,
HESG,Suhag Intl,Suhag,Egypt,EGY,
LJLJ,Brnik,Ljubljana,Slovenia,SVN,
EYVI,Vilnius Intl,Vilnius,Lithuania,LTU,
LIBP,Pescara,Pescara,Italy,ITA,
EFVA,Vaasa,Vaasa,Finland,FIN,
EKCH,Kastrup,Copenhagen,Denmark,DNK,
LLBG,Ben Gurion,Tel Aviv,Israel,ISR,
HESC,St Catherine,St Catherine,Egypt,EGY,
LGAL,Dimokritos,Alexandroupolis,Greece,GRC,
HEMA,Marsa Alam Intl,Marsa Alam,Egypt,EGY,
MTPP,Toussaint Louverture Intl,Port-Au-Prince,Haiti,HTI,
HEGN,Hurghada Intl,Hurghada,Egypt,EGY,
HEBA,Borg El Arab Intl,Alexandria,Egypt,EGY,
YBCS,Cairns Intl,Cairns,Australia,AUS,
SEMT,Eloy Alfaro Intl,Manta,Ecuador,ECU,
EGSS,Stansted,London,UK,GBR,
ENBO,Bodo,Bodo,Norway,NOR,
LUBL,Balti Intl,Balti,Moldova,MDA,
TXKF,L F Wade Intl,Bermuda Is,Bermuda,BMU,
DAUZ,In Amenas,Zarzaitine,Algeria,DZA,
KLNK,Lincoln,Lincoln,USA,USA,
MMCZ,Cozumel Intl,Cozumel,Mexico,MEX,
DAUA,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,DZA,
EDQD,Bayreuth,Bayreuth,Germany,DEU,
DAON,Zenata-Messali El Hadj,Tlemcen,Algeria,DZA,
UWSS,Tsentralny,Saratov,Russia,RUS,
TJSJ,Luis Munoz Marin Intl,San Juan,Puerto Rico,PRI,
OMDB,Dubai Intl,Dubai,UAE,ARE,
LECU,Cuatro Vientos,Madrid,Spain,ESP,
LTFH,Carsamba,Samsun,Turkey,TUR,
ZSAM,Gaoqi,Xiamen,China,CHN,
OMFJ,Fujairah Intl,Fujairah,UAE,ARE,
MYBS,South Bimini,Bimini I,Bahamas,BHS,
DABS,Cheikh Larbi Tebessi,Tebessa,Algeria,DZA,
VIDP,Indira Gandhi Intl,Delhi,India,IND,
LEBL,El Prat,Barcelona,Spain,ESP,
DABB,Rabah Bitat,Annaba,Algeria,DZA,
SBCT,Afonso Pena Intl,Curitiba,Brazil,BRA,
DAAT,Aguenar-Hadj Bey Akhamok,Tamanrasset,Algeria,DZA,
NTAA,Faaa,Tahiti I,French Pacific O.T.,PYF,
VAAH,Ahmedabad,Ahmedabad,India,IND,
DAAG,Houari Boumediene,Algiers,Algeria,DZA,
MDPP,Gregorio Luperon Intl,Puerto Plata,Dom Rep,DOM,
EGKB,Biggin Hill,Biggin Hill,UK,GBR,
DABT,Mostepha Ben Boulaid,Batna,Algeria,DZA,
MZBZ,Philip S W Goldson Intl,Belize City,Belize,BLZ,
EKVJ,Stauning,Stauning,Denmark,DNK,
DTTZ,Nefta,Tozeur,Tunisia,TUN,
MDBH,Maria Montez Intl,Barahona,Dom Rep,DOM,
SBSV,Dep. L. E. Magalhaes Intl,Salvador,Brazil,BRA,
EKTS,Thisted,Thisted,Denmark,DNK,
RJCC,New Chitose,Sapporo,Japan,JPN,
EKRN,Ronne,Bornholm,Denmark,DNK,
EGKK,Gatwick,London,UK,GBR,
EKRK,Roskilde,Copenhagen,Denmark,DNK,
AYVN,Vanimo,Vanimo,PNG,PNG,
PKMJ,Marshall Is Intl,Majuro Atoll,Marshall Is,MHL,
FMSD,Tolagnaro,Tolagnaro,Madagascar,MDG,
LGSM,Aristarchos of Samos,Samos,Greece,GRC,
NGTA,Bonriki Intl,Tarawa I,Kiribati,KIR,
ESMK,Kristianstad,Kristianstad,Sweden,SWE,
UWKS,Cheboksary,Cheboksary,Russia,RUS,
MHRO,Juan Manuel Galvez Intl,Roatan,Honduras,HND,
EDDB,Schonefeld,Berlin,Germany,DEU,
UDSG,Shirak,Gyumri,Armenia,ARM,
EKEB,Esbjerg,Esbjerg,Denmark,DNK,
YBAS,Alice Springs,Alice Springs,Australia,AUS,
SBMO,Zumbi Dos Palmares,Maceio,Brazil,BRA,
DAAE,Soummam-Abane Ramdane,Bejaia,Algeria,DZA,
KOMA,Eppley,Omaha,USA,USA,
FBKE,Kasane,Kasane,Botswana,BWA,
EKAH,Aarhus,Aarhus,Denmark,DNK,
LATI,Tirana,Tirana,Albania,ALB,
DAAS,8 Mai 45,Setif,Algeria,DZA,
TDPD,Douglas Charles Intl,Roseau,Dominica,DMA,
EDLV,Niederrhein,Niederrhein,Germany,DEU,
